gene,day,gDNA,mRNA
CNN2,day 5,-0.6,-0.16
CNN2,day 13,0.84,0.82
CNN2,day 21,1.63,1.13
CNN3,day 5,-0.6,0.23
CNN3,day 13,0.12,1.35
CNN3,day 21,1.03,2.16
CNOT1,day 5,0.25,-0.19
CNOT1,day 13,-2.18,-2.86
CNOT1,day 21,-2.43,-3.66
CNOT10,day 5,-0.39,-0.86
CNOT10,day 13,-0.88,-1.78
CNOT10,day 21,-0.68,-2.22
CNOT11,day 5,0.27,0.11
CNOT11,day 13,0.22,0.02
CNOT11,day 21,-0.38,-0.1
CNOT2,day 5,0.53,0.28
CNOT2,day 13,-0.2,-0.24
CNOT2,day 21,0.82,0.24
CNOT3,day 5,-0.4,-0.25
CNOT3,day 13,-1.87,-2.98
CNOT3,day 21,-1.79,-4
CNOT4,day 5,0.59,0.13
CNOT4,day 13,1.43,0.81
CNOT4,day 21,1.8,1.63
CNOT6,day 5,0.2,0.18
CNOT6,day 13,1.42,0.93
CNOT6,day 21,1.38,1.09
CNOT6L,day 5,0.05,0.2
CNOT6L,day 13,0.78,0.6
CNOT6L,day 21,-0.08,0.76
CNOT7,day 5,0.3,0.45
CNOT7,day 13,1.11,1.46
CNOT7,day 21,1.42,1.49
CNOT8,day 5,0.3,0.03
CNOT8,day 13,-0.19,0.59
CNOT8,day 21,0.24,1.17
CNOT9,day 5,0.18,-0.12
CNOT9,day 13,0.3,0.51
CNOT9,day 21,0.51,0.59
CNP,day 5,0.56,0.23
CNP,day 13,2.18,0.88
CNP,day 21,3.47,0.79
COA6,day 5,-0.31,0.06
COA6,day 13,-1.27,-0.99
COA6,day 21,-2.16,-4.27
COL14A1,day 5,0.01,0.44
COL14A1,day 13,0.93,1.07
COL14A1,day 21,1.04,0.94
COPB1,day 5,-1.24,-1.85
COPB1,day 13,-1.35,-3.76
COPB1,day 21,-1.57,-3.12
COPG1,day 5,-0.63,-0.45
COPG1,day 13,-1.14,-1.36
COPG1,day 21,-2.23,-1.78
COPS2,day 5,-0.72,0.15
COPS2,day 13,-2.41,-2.99
COPS2,day 21,-2.66,-4.53
COPZ1,day 5,-0.99,-1.21
COPZ1,day 13,-2.73,-4.17
COPZ1,day 21,-1.71,-4.69
CORO1A,day 5,-0.17,-0.07
CORO1A,day 13,0.45,0.66
CORO1A,day 21,1.1,1.27
CPEB1,day 5,0.71,-0.39
CPEB1,day 13,0.78,0.77
CPEB1,day 21,1.08,0.73
CPEB2,day 5,0.53,0.15
CPEB2,day 13,1.29,1.35
CPEB2,day 21,1.84,2.11
CPEB3,day 5,0.61,-0.16
CPEB3,day 13,1.06,0.38
CPEB3,day 21,1.22,0.52
CPEB4,day 5,0.55,0.08
CPEB4,day 13,1.71,1.17
CPEB4,day 21,2.15,2.05
CPLX2,day 5,-0.84,0.25
CPLX2,day 13,0.45,0.42
CPLX2,day 21,1.66,0.88
CPNE3,day 5,-0.32,0.08
CPNE3,day 13,0.48,0.86
CPNE3,day 21,1,1.59
CPSF1,day 5,-0.14,-0.6
CPSF1,day 13,-2.23,-3.01
CPSF1,day 21,-3.37,-3.25
CPSF2,day 5,-0.12,-0.23
CPSF2,day 13,-1.38,-3.79
CPSF2,day 21,-2.03,-3.59
CPSF3,day 5,-0.23,-0.64
CPSF3,day 13,-1.95,-4.15
CPSF3,day 21,-1.27,-3.31
CPSF4,day 5,-0.17,-0.15
CPSF4,day 13,-1.44,-2.14
CPSF4,day 21,-2.49,-3.52
CPSF4L,day 5,-0.24,0.07
CPSF4L,day 13,0.48,0.59
CPSF4L,day 21,0.72,1.01
CPSF6,day 5,-0.82,-0.18
CPSF6,day 13,-2.14,-2.51
CPSF6,day 21,-2.15,-4.25
CPSF7,day 5,-1.28,0.18
CPSF7,day 13,-0.64,0.58
CPSF7,day 21,-0.57,0.7
CRKL,day 5,-0.04,0.2
CRKL,day 13,0.25,0.8
CRKL,day 21,1.04,1.47
CRNKL1,day 5,-0.49,-0.44
CRNKL1,day 13,-3.32,-3.03
CRNKL1,day 21,-2.82,-4.55
CRYAB,day 5,-0.04,0.4
CRYAB,day 13,0.18,1.23
CRYAB,day 21,0.59,2.02
CRYZ,day 5,0.65,0.27
CRYZ,day 13,1.58,0.87
CRYZ,day 21,1.79,1.55
CS,day 5,-0.14,0.09
CS,day 13,0.17,0.06
CS,day 21,0.17,0.1
CSDC2,day 5,-0.35,0.09
CSDC2,day 13,-0.09,0.76
CSDC2,day 21,0.45,1.44
CSDE1,day 5,0.23,0.12
CSDE1,day 13,-0.1,0.02
CSDE1,day 21,1.57,0.89
CSE1L,day 5,0.05,-0.09
CSE1L,day 13,-2.16,-4.48
CSE1L,day 21,-2.27,-4.78
CSN2,day 5,-0.05,-0.23
CSN2,day 13,0.72,1.16
CSN2,day 21,1.63,2.21
CSNK1E,day 5,0.33,0.47
CSNK1E,day 13,0.54,0.89
CSNK1E,day 21,0.34,1
CSRP1,day 5,-0.52,-0.1
CSRP1,day 13,0.41,0.66
CSRP1,day 21,1.49,1.35
CST6,day 5,0.17,0.05
CST6,day 13,0.69,1.05
CST6,day 21,1.26,1.73
CSTB,day 5,-0.33,-0.19
CSTB,day 13,0.1,0.61
CSTB,day 21,0.53,1.27
CSTF1,day 5,0.03,-0.18
CSTF1,day 13,-2.69,-3.15
CSTF1,day 21,-1.97,-3.75
CSTF2,day 5,0.22,-0.2
CSTF2,day 13,0.29,0.37
CSTF2,day 21,0.4,0.43
CSTF2T,day 5,-1.01,-0.28
CSTF2T,day 13,-0.35,0.09
CSTF2T,day 21,-0.6,0.33
CSTF3,day 5,0.14,0.11
CSTF3,day 13,-1.19,-2.11
CSTF3,day 21,-1.03,-3.14
CTIF,day 5,0.2,-0.05
CTIF,day 13,1.44,0.74
CTIF,day 21,1.59,1.23
CTNNA1,day 5,-0.99,-0.19
CTNNA1,day 13,0.27,0.68
CTNNA1,day 21,1.33,1.52
CTNND1,day 5,0.52,0.45
CTNND1,day 13,1.8,1.63
CTNND1,day 21,1.79,2.49
CTTN,day 5,-0.01,-0.02
CTTN,day 13,0.16,0.72
CTTN,day 21,1.3,1.4
CTU1,day 5,0.15,0.41
CTU1,day 13,-0.44,-0.12
CTU1,day 21,-0.43,-2.22
CTU2,day 5,0.1,-0.18
CTU2,day 13,-0.96,-1.39
CTU2,day 21,-1.06,-4.32
CWC15,day 5,-0.13,-0.17
CWC15,day 13,-2.91,-2.53
CWC15,day 21,-2.55,-2.76
CWC22,day 5,0.64,-0.38
CWC22,day 13,-0.68,-4.3
CWC22,day 21,-0.83,-3.99
CWC25,day 5,-0.5,-0.01
CWC25,day 13,-1.53,-4.21
CWC25,day 21,-0.85,-3.33
CWC27,day 5,0.07,0.17
CWC27,day 13,0.54,0.67
CWC27,day 21,0.83,1.29
CWF19L1,day 5,-0.05,-0.22
CWF19L1,day 13,-0.95,0.13
CWF19L1,day 21,-0.25,-0.01
CWF19L2,day 5,0.14,0.07
CWF19L2,day 13,-0.34,-0.07
CWF19L2,day 21,-0.09,0.19
CXORF23,day 5,0.27,-0.11
CXORF23,day 13,1.04,0.72
CXORF23,day 21,0.31,1.25
CXORF57,day 5,-0.43,-0.34
CXORF57,day 13,-0.11,-0.02
CXORF57,day 21,0.21,0.04
CXXC5,day 5,0.35,0.2
CXXC5,day 13,1.39,1.14
CXXC5,day 21,1.38,1.77
CYCS,day 5,-0.32,-0.36
CYCS,day 13,-1.45,-2.4
CYCS,day 21,-2.23,-3.86
DALRD3,day 5,-0.21,0.54
DALRD3,day 13,1.39,1.37
DALRD3,day 21,1.53,2.3
DAP3,day 5,0.35,-0.21
DAP3,day 13,-1.89,-2.62
DAP3,day 21,-1.68,-3.67
DARS1,day 5,-0.46,-0.25
DARS1,day 13,-3.3,-4.86
DARS1,day 21,-2.94,-5.3
DARS2,day 5,-0.21,0.27
DARS2,day 13,-0.22,-0.26
DARS2,day 21,-2.94,-4.07
DAZ1,day 5,-0.68,-0.02
DAZ1,day 13,0.58,1.02
DAZ1,day 21,-0.18,1.27
DAZ2,day 5,-0.23,0.47
DAZ2,day 13,1.52,1.62
DAZ2,day 21,1.86,2.54
DAZ3,day 5,0.85,0.55
DAZ3,day 13,1.91,1.8
DAZ3,day 21,2.65,2.66
DAZ4,day 5,-1.62,-0.26
DAZ4,day 13,-0.92,0.65
DAZ4,day 21,-0.79,0.3
DAZAP1,day 5,0.38,-0.03
DAZAP1,day 13,0.09,0.28
DAZAP1,day 21,0.88,0.74
DAZL,day 5,-0.09,-0.39
DAZL,day 13,1.29,0.3
DAZL,day 21,1.08,0.57
DBI,day 5,-0.4,0.28
DBI,day 13,1.66,1.25
DBI,day 21,1.27,1.91
DBNL,day 5,0.28,0.14
DBNL,day 13,0.92,1.43
DBNL,day 21,1.41,2.29
DBR1,day 5,0.1,0.16
DBR1,day 13,-3.77,-5.33
DBR1,day 21,-3.71,-4.5
DBT,day 5,0.2,0.01
DBT,day 13,-0.32,-0.12
DBT,day 21,1.04,0.44
DCAF13,day 5,-0.28,-0.31
DCAF13,day 13,-2.54,-3.11
DCAF13,day 21,-1.98,-4.48
DCD,day 5,0.35,0.1
DCD,day 13,0.78,1.05
DCD,day 21,1.44,1.59
DCLRE1C,day 5,0.86,0.35
DCLRE1C,day 13,1.53,1.63
DCLRE1C,day 21,2.16,2.25
DCN,day 5,0.24,-0.08
DCN,day 13,0.75,0.17
DCN,day 21,-0.08,0.53
DCP1A,day 5,0.53,0.09
DCP1A,day 13,1.45,0.98
DCP1A,day 21,1.72,1.54
DCP1B,day 5,0.5,0.05
DCP1B,day 13,1.21,0.9
DCP1B,day 21,1.49,1.34
DCP2,day 5,-0.17,0.14
DCP2,day 13,0.48,0.71
DCP2,day 21,0.07,0.54
DCPS,day 5,0.21,0.06
DCPS,day 13,0.59,0.89
DCPS,day 21,-1.51,-0.84
DCTN2,day 5,-0.36,0.25
DCTN2,day 13,-2.05,-1.48
DCTN2,day 21,-1.36,-1.09
DDX1,day 5,0.81,-0.19
DDX1,day 13,0.59,-1
DDX1,day 21,0.14,-1.92
DDX10,day 5,0.12,-0.66
DDX10,day 13,-3.34,-4.83
DDX10,day 21,-2.8,-4.03
DDX17,day 5,0.65,0.42
DDX17,day 13,1.11,1.4
DDX17,day 21,0.76,1.58
DDX18,day 5,-0.04,-0.41
DDX18,day 13,-1.4,-3.8
DDX18,day 21,-1.49,-3.84
DDX19A,day 5,-0.63,-0.32
DDX19A,day 13,-2.49,-4.98
DDX19A,day 21,-1.78,-4
DDX19B,day 5,0.26,-0.04
DDX19B,day 13,1.19,0.86
DDX19B,day 21,1.1,1.58
DDX20,day 5,-0,-0.24
DDX20,day 13,-2.44,-5.86
DDX20,day 21,-2.5,-5.35
DDX21,day 5,-0.2,-0.36
DDX21,day 13,-3.46,-4.03
DDX21,day 21,-2.2,-5.57
DDX23,day 5,0.17,-0.45
DDX23,day 13,-0.93,-3.78
DDX23,day 21,-1.54,-3.12
DDX24,day 5,0.25,-0.51
DDX24,day 13,-0.4,-1.65
DDX24,day 21,-0.44,-1.39
DDX25,day 5,0.55,-0.08
DDX25,day 13,1.25,0.67
DDX25,day 21,1.98,1.36
DDX27,day 5,-1,-0.29
DDX27,day 13,-2.84,-4.73
DDX27,day 21,-2.7,-4.83
DDX28,day 5,0.44,-0.78
DDX28,day 13,-0.55,-3.26
DDX28,day 21,1.5,-3.33
DDX31,day 5,0.77,0.16
DDX31,day 13,-0.11,0.54
DDX31,day 21,0.93,0.58
DDX39A,day 5,0.42,-0.33
DDX39A,day 13,-0.31,0.11
DDX39A,day 21,0.31,0.31
DDX39B,day 5,0.49,-0.43
DDX39B,day 13,-0,-2.03
DDX39B,day 21,-1.56,-2.69
DDX3X,day 5,-0.31,-0.9
DDX3X,day 13,-3.12,-4.98
DDX3X,day 21,-2.57,-3.98
DDX3Y,day 5,0.07,0.26
DDX3Y,day 13,1.9,1.71
DDX3Y,day 21,2.27,2.36
DDX4,day 5,-0.49,-0.05
DDX4,day 13,-0.09,0.32
DDX4,day 21,-0.07,0.75
DDX41,day 5,0.03,-0.1
DDX41,day 13,-2.76,-4.08
DDX41,day 21,-2.05,-3.61
DDX42,day 5,-0.21,0.19
DDX42,day 13,-1.07,-1.82
DDX42,day 21,-2.32,-4.09
DDX43,day 5,0.39,0.08
DDX43,day 13,1.45,1.01
DDX43,day 21,1.94,1.59
DDX46,day 5,1.69,-0.1
DDX46,day 13,-1.54,-4.19
DDX46,day 21,-0.5,-3.62
DDX47,day 5,0.22,-0.14
DDX47,day 13,-2.68,-3.35
DDX47,day 21,-1.88,-4.22
DDX49,day 5,0.25,-0.14
DDX49,day 13,-1.33,-3.1
DDX49,day 21,-2.88,-3.95
DDX5,day 5,-0.9,-0.26
DDX5,day 13,-0.45,-0.64
DDX5,day 21,0.02,-0.14
DDX50,day 5,0.71,0.31
DDX50,day 13,1.56,1.08
DDX50,day 21,1.48,1.89
DDX51,day 5,-0.36,-0.1
DDX51,day 13,-1.91,-2.93
DDX51,day 21,-0.86,-3.4
DDX52,day 5,-0.08,-0.03
DDX52,day 13,-3.18,-4.56
DDX52,day 21,-2.49,-5.49
DDX53,day 5,0.63,0.4
DDX53,day 13,1.98,1.56
DDX53,day 21,2.83,2.19
DDX54,day 5,-0.44,-0.01
DDX54,day 13,-2.1,-5.09
DDX54,day 21,-2.15,-4.33
DDX55,day 5,0.84,0.05
DDX55,day 13,-0.19,-1.7
DDX55,day 21,0.33,-2.94
DDX56,day 5,-0.74,-0.35
DDX56,day 13,-1.15,-3.18
DDX56,day 21,-1.08,-2.63
DDX59,day 5,-0.65,0.16
DDX59,day 13,-0.9,-1.41
DDX59,day 21,-2.28,-3.69
DDX6,day 5,-0.34,-0.29
DDX6,day 13,-1.63,-0.92
DDX6,day 21,-3.19,-2.58
DDX60,day 5,0.15,0.3
DDX60,day 13,1.55,1.82
DDX60,day 21,2.89,2.8
DDX60L,day 5,-0.17,0.19
DDX60L,day 13,0.31,1.29
DDX60L,day 21,1.4,2.55
DEK,day 5,0.29,0.62
DEK,day 13,1.66,2.05
DEK,day 21,2.15,2.81
DENR,day 5,0.04,-0.22
DENR,day 13,-0.32,0.72
DENR,day 21,0.91,0.55
DGCR8,day 5,-0.68,0.01
DGCR8,day 13,-3.1,-2.16
DGCR8,day 21,-2.72,-3.31
DHCR7,day 5,0.04,0.12
DHCR7,day 13,0.84,1.29
DHCR7,day 21,0.32,1.87
DHX15,day 5,-0.05,0.38
DHX15,day 13,-3.34,-6.39
DHX15,day 21,-2.71,-5.4
DHX16,day 5,0.3,-0
DHX16,day 13,-2.09,-2.62
DHX16,day 21,-1.35,-3.54
DHX29,day 5,-0.11,0.06
DHX29,day 13,0.31,-1.19
DHX29,day 21,0.6,-2.59
DHX30,day 5,0.24,-0.03
DHX30,day 13,-0.41,-1.94
DHX30,day 21,-1.7,-4.45
DHX32,day 5,0.16,0.29
DHX32,day 13,0.56,0.89
DHX32,day 21,0.98,1.41
DHX33,day 5,0.71,0.26
DHX33,day 13,-2.5,-2.39
DHX33,day 21,-1.94,-4.05
DHX34,day 5,0.43,0.34
DHX34,day 13,0.93,1.33
DHX34,day 21,1.96,1.9
DHX35,day 5,0.93,0.26
DHX35,day 13,-0.76,0.72
DHX35,day 21,0.68,1
DHX36,day 5,0.29,0.33
DHX36,day 13,-0.62,-0.92
DHX36,day 21,-2.68,-2.52
DHX37,day 5,-0.17,-0.59
DHX37,day 13,-1.98,-4.5
DHX37,day 21,-1.35,-4.84
DHX38,day 5,-0.03,0.05
DHX38,day 13,-0.95,-2.81
DHX38,day 21,-0.43,-2.07
DHX40,day 5,-0.41,-0.23
DHX40,day 13,-0.15,0.44
DHX40,day 21,-0.3,0.89
DHX57,day 5,0.33,-0.02
DHX57,day 13,1.23,1.09
DHX57,day 21,1.17,1.72
DHX58,day 5,0.45,0.19
DHX58,day 13,1.55,0.99
DHX58,day 21,0.78,1.37
DHX8,day 5,-0.78,-1.17
DHX8,day 13,-2.98,-5.05
DHX8,day 21,-2.33,-4.07
DHX9,day 5,-0.01,-0.28
DHX9,day 13,-1.67,-2.63
DHX9,day 21,-2.88,-4.51
DIAPH1,day 5,0.18,0.02
DIAPH1,day 13,0.96,0.61
DIAPH1,day 21,0.42,1
DICER1,day 5,0.25,0.27
DICER1,day 13,0.08,-0.03
DICER1,day 21,-2.57,-1.68
DIDO1,day 5,0.61,-0.03
DIDO1,day 13,0.09,0.28
DIDO1,day 21,-1.27,-0.09
DIMT1,day 5,0.04,-0.86
DIMT1,day 13,-2.96,-4.33
DIMT1,day 21,-1.14,-3.81
DIO1,day 5,0.5,0.35
DIO1,day 13,1.4,1.17
DIO1,day 21,2.2,1.63
DIS3,day 5,-0.01,-0.36
DIS3,day 13,-1.69,-2.9
DIS3,day 21,-2.17,-4.02
DIS3L,day 5,-0.01,0.15
DIS3L,day 13,0.81,1.15
DIS3L,day 21,0.9,1.77
DIS3L2,day 5,0.19,0.25
DIS3L2,day 13,1.15,1.57
DIS3L2,day 21,1.44,2.54
DKC1,day 5,0.32,-0.11
DKC1,day 13,-1.92,-3.5
DKC1,day 21,-2.08,-4.54
DLAT,day 5,-0.01,0.35
DLAT,day 13,1.15,1.79
DLAT,day 21,1.73,2.52
DLD,day 5,-0.3,-0.42
DLD,day 13,-0.72,-0.55
DLD,day 21,-2.6,-0.9
DLX5,day 5,0.56,-0.03
DLX5,day 13,-1.73,-1.57
DLX5,day 21,-1.51,-2.69
DMGDH,day 5,-0.12,0.08
DMGDH,day 13,1.1,1.04
DMGDH,day 21,1.02,1.47
DNAAF2,day 5,-0.19,-0.01
DNAAF2,day 13,-0.19,0.91
DNAAF2,day 21,1.68,1.07
DNAAF6,day 5,0.01,0.14
DNAAF6,day 13,0.94,0.84
DNAAF6,day 21,1.5,1.36
DNAJA1,day 5,0.04,-0.37
DNAJA1,day 13,-1.28,-0.78
DNAJA1,day 21,-0.66,-1.96
DNAJB12,day 5,0.18,-0.12
DNAJB12,day 13,0.77,0.21
DNAJB12,day 21,1.24,0.86
DNAJC1,day 5,0.41,0.12
DNAJC1,day 13,1.31,1.24
DNAJC1,day 21,1.9,1.75
DNAJC17,day 5,0.36,-0.46
DNAJC17,day 13,-1.83,-3.69
DNAJC17,day 21,-2.23,-2.71
DNAJC2,day 5,0.42,0.3
DNAJC2,day 13,-0.15,0.11
DNAJC2,day 21,-0,-1.95
DNAJC21,day 5,0.03,-0.16
DNAJC21,day 13,0.69,0.98
DNAJC21,day 21,0.45,1.21
DND1,day 5,0.2,0.01
DND1,day 13,1.24,1.1
DND1,day 21,0.99,1.61
DNM1,day 5,-0.05,-0.29
DNM1,day 13,1.01,0.76
DNM1,day 21,1.08,1.23
DNMT1,day 5,-0.01,0.03
DNMT1,day 13,-1.95,-1.87
DNMT1,day 21,-2.62,-2.89
DNMT3B,day 5,-0.06,0.03
DNMT3B,day 13,1.07,0.53
DNMT3B,day 21,1.6,0.71
DNTTIP2,day 5,-0.18,-0.36
DNTTIP2,day 13,-1.84,-1.33
DNTTIP2,day 21,-0.71,-1.11
DQX1,day 5,0.26,0.15
DQX1,day 13,0.6,1.06
DQX1,day 21,1.38,1.86
DRG1,day 5,0.04,0.15
DRG1,day 13,0.56,1.16
DRG1,day 21,1.24,1.67
DRG2,day 5,0.02,0.36
DRG2,day 13,0.69,0.93
DRG2,day 21,0.89,1.14
DROSHA,day 5,0.53,0.23
DROSHA,day 13,-0.65,-0.63
DROSHA,day 21,-1.64,-1.68
DSP,day 5,-0.43,0.05
DSP,day 13,0.26,0.96
DSP,day 21,0.8,1.61
DST,day 5,-0.53,0.05
DST,day 13,-0.61,0.68
DST,day 21,1.26,1.31
DUS1L,day 5,0.66,0.41
DUS1L,day 13,1.35,1.7
DUS1L,day 21,2.15,2.12
DUS2,day 5,0.42,0.2
DUS2,day 13,1.19,1.04
DUS2,day 21,1.42,1.68
DUS3L,day 5,0.86,-0.03
DUS3L,day 13,1,0.52
DUS3L,day 21,2.34,0.88
DUS4L,day 5,0.81,0.28
DUS4L,day 13,1.4,1.1
DUS4L,day 21,1.48,1.65
DUSP11,day 5,-0.36,-0.14
DUSP11,day 13,0.41,0.22
DUSP11,day 21,0.92,0.65
DUSP14,day 5,-0.01,0
DUSP14,day 13,0.8,0.6
DUSP14,day 21,0.65,0.39
DUSP9,day 5,0.24,0.03
DUSP9,day 13,0.37,0.92
DUSP9,day 21,0.94,1.41
DUT,day 5,0.07,-0.12
DUT,day 13,-3.15,-3.56
DUT,day 21,-2.69,-5.82
DXO,day 5,0.07,-0.09
DXO,day 13,0.48,0.45
DXO,day 21,0.78,1.01
DYNC1H1,day 5,0.32,0.29
DYNC1H1,day 13,-0.78,-2.62
DYNC1H1,day 21,-2.15,-2.08
DYNC1I2,day 5,0.61,-0.21
DYNC1I2,day 13,-0.08,-0.95
DYNC1I2,day 21,0.75,-1.44
DYNC1LI1,day 5,-0.01,0.15
DYNC1LI1,day 13,1.44,0.82
DYNC1LI1,day 21,1.24,0.85
DYNC2H1,day 5,0.24,-0.11
DYNC2H1,day 13,0.5,0.24
DYNC2H1,day 21,0.84,0.73
DYNLL1,day 5,-0.51,-0.42
DYNLL1,day 13,0.13,-1.35
DYNLL1,day 21,-1.49,-1.66
DZIP1,day 5,-0.42,0.26
DZIP1,day 13,1.51,1.75
DZIP1,day 21,2.07,2.73
DZIP1L,day 5,-0.83,0.08
DZIP1L,day 13,0.71,0.99
DZIP1L,day 21,1.23,1.65
DZIP3,day 5,-0.01,0.19
DZIP3,day 13,0.36,0.43
DZIP3,day 21,0.68,1.17
EARS2,day 5,-0.47,0.17
EARS2,day 13,-1.95,-1.42
EARS2,day 21,-2.22,-4.03
EBNA1BP2,day 5,-1.13,-0.24
EBNA1BP2,day 13,0.74,-1.01
EBNA1BP2,day 21,1.09,-0.34
EBP,day 5,-0.87,-0.47
EBP,day 13,-0.12,0.26
EBP,day 21,-1,0.4
EDC3,day 5,0.15,0.33
EDC3,day 13,1.25,1.34
EDC3,day 21,1.73,2
EDC4,day 5,0.12,-0.14
EDC4,day 13,0.15,-0.54
EDC4,day 21,-0.45,-1.18
EDF1,day 5,-0.11,0.18
EDF1,day 13,0.41,0.84
EDF1,day 21,0.55,1.11
EED,day 5,-0.29,0.35
EED,day 13,0.89,1.39
EED,day 21,1.13,1.77
EEF1A1,day 5,-1.13,-0.7
EEF1A1,day 13,-4.06,-5.88
EEF1A1,day 21,-3.16,-5.45
EEF1A2,day 5,0.24,0.23
EEF1A2,day 13,0.91,1.21
EEF1A2,day 21,1.14,1.88
EEF1AKMT2,day 5,0.17,0.22
EEF1AKMT2,day 13,1.07,1.41
EEF1AKMT2,day 21,1.32,2.08
EEF1B2,day 5,-0.33,-0.16
EEF1B2,day 13,-0.4,0.02
EEF1B2,day 21,0.45,0.75
EEF1D,day 5,-0.06,0.06
EEF1D,day 13,0.01,0.41
EEF1D,day 21,0.04,0.39
EEF1E1,day 5,-0.65,0.15
EEF1E1,day 13,0.81,0.9
EEF1E1,day 21,-0.67,0.88
EEF1G,day 5,0.21,0.19
EEF1G,day 13,-2.54,-3.18
EEF1G,day 21,-3.6,-5.15
EEF2,day 5,-0.22,0.23
EEF2,day 13,-2.25,-3.11
EEF2,day 21,-1.97,-5.18
EEF2K,day 5,0.21,0.16
EEF2K,day 13,1.22,0.99
EEF2K,day 21,0.96,1.64
EEFSEC,day 5,0.91,0.11
EEFSEC,day 13,0.2,0.15
EEFSEC,day 21,-0.88,-2.66
EFTUD2,day 5,0.08,-1.21
EFTUD2,day 13,-0.74,-5.38
EFTUD2,day 21,-0.04,-4.4
EGFP,day 5,-0.11,0.45
EGFP,day 13,0.94,1.48
EGFP,day 21,2.06,2.03
EIF1,day 5,-0.92,-0.06
EIF1,day 13,-0.37,0.36
EIF1,day 21,-0.54,0.23
EIF1AD,day 5,-1.66,-0.43
EIF1AD,day 13,-0.96,-2.38
EIF1AD,day 21,-1.3,-2.72
EIF1AX,day 5,-0.46,-0.47
EIF1AX,day 13,-2.02,-2.13
EIF1AX,day 21,-0.92,-1.64
EIF1AY,day 5,-0.43,0.15
EIF1AY,day 13,0.39,0.82
EIF1AY,day 21,0.7,0.69
EIF1B,day 5,-0.13,-0.01
EIF1B,day 13,1.02,0.91
EIF1B,day 21,1.32,1.58
EIF2A,day 5,0.02,-0.02
EIF2A,day 13,0.26,0.81
EIF2A,day 21,1.54,1.53
EIF2AK1,day 5,0.48,0.41
EIF2AK1,day 13,1.19,1.21
EIF2AK1,day 21,1.04,1.37
EIF2AK2,day 5,-0.34,-0.31
EIF2AK2,day 13,0.25,0.47
EIF2AK2,day 21,0.46,1.11
EIF2AK3,day 5,-0.4,0.11
EIF2AK3,day 13,2.03,1.29
EIF2AK3,day 21,3.17,2.31
EIF2AK4,day 5,0.39,-0.1
EIF2AK4,day 13,1.04,0.33
EIF2AK4,day 21,1.53,1.19
EIF2B1,day 5,-0.64,0.06
EIF2B1,day 13,-3.42,-3.66
EIF2B1,day 21,-2.37,-3.97
EIF2B2,day 5,0.34,-0.06
EIF2B2,day 13,-2.62,-3.48
EIF2B2,day 21,-2.02,-3.06
EIF2B3,day 5,-0.36,-0.69
EIF2B3,day 13,-3.79,-5.74
EIF2B3,day 21,-2.98,-6.23
EIF2B4,day 5,-0.49,-0.86
EIF2B4,day 13,-4.02,-4.7
EIF2B4,day 21,-2.62,-4.02
EIF2B5,day 5,-0.58,-0.91
EIF2B5,day 13,-3.82,-5.97
EIF2B5,day 21,-3.52,-6.3
EIF2D,day 5,-1.76,-0.26
EIF2D,day 13,-0.18,0.64
EIF2D,day 21,0.44,1.02
EIF2S1,day 5,-1.56,-1.4
EIF2S1,day 13,-3.42,-5.98
EIF2S1,day 21,-2.71,-4.61
EIF2S2,day 5,-0.68,-1.44
EIF2S2,day 13,-1.58,-3.66
EIF2S2,day 21,-1.05,-2.68
EIF2S3,day 5,-1.08,-1.45
EIF2S3,day 13,-3.58,-5.7
EIF2S3,day 21,-3.07,-5.28
EIF3A,day 5,-0.13,-1.49
EIF3A,day 13,-0.24,-2.27
EIF3A,day 21,-1.33,-1.96
EIF3B,day 5,-1.29,-1.26
EIF3B,day 13,-1.67,-3.9
EIF3B,day 21,-0.74,-3.47
EIF3C,day 5,-1.05,-1.84
EIF3C,day 13,-1.58,-4.68
EIF3C,day 21,-0.55,-3.69
EIF3CL,day 5,-1,-1.32
EIF3CL,day 13,-1.36,-4.44
EIF3CL,day 21,-0.65,-3.46
EIF3D,day 5,-0.39,-1.01
EIF3D,day 13,-1.66,-4.56
EIF3D,day 21,-1.22,-4.14
EIF3E,day 5,-0.36,-0.76
EIF3E,day 13,-2.51,-3.07
EIF3E,day 21,-1.79,-3.2
EIF3F,day 5,-1.26,-0.69
EIF3F,day 13,-2.63,-4.87
EIF3F,day 21,-1.92,-4.29
EIF3G,day 5,-0.95,-0.91
EIF3G,day 13,-3.86,-4.5
EIF3G,day 21,-3.61,-5.24
EIF3H,day 5,-0.13,0.19
EIF3H,day 13,-1.2,-0.1
EIF3H,day 21,-2.09,-1.37
EIF3I,day 5,-0.04,-0.56
EIF3I,day 13,-3.48,-6.07
EIF3I,day 21,-3.43,-5.76
EIF3J,day 5,0.59,0.24
EIF3J,day 13,-0.05,0.71
EIF3J,day 21,0.3,1.07
EIF3K,day 5,-0.52,0.29
EIF3K,day 13,-0.18,0.36
EIF3K,day 21,-0.65,0.25
EIF3L,day 5,0.4,0.24
EIF3L,day 13,1.09,0.78
EIF3L,day 21,1.45,1.34
EIF3M,day 5,0.47,-0.31
EIF3M,day 13,-0.05,-1.16
EIF3M,day 21,-1.14,-1.76
EIF4A1,day 5,-0.94,-1.14
EIF4A1,day 13,-2.83,-3.46
EIF4A1,day 21,-1.76,-3.02
