gene_name,lfc_ctrl,lfc,compare
SNAPIN,-0.027,0.247,"GCN1 sgRNA 1,2"
AAK1,0.259,0.247,"GCN1 sgRNA 1,2"
NKIRAS1,0.398,0.247,"GCN1 sgRNA 1,2"
EXOC1,0.401,0.247,"GCN1 sgRNA 1,2"
CDC25C,0.15,0.247,"GCN1 sgRNA 1,2"
R3HDM4,0.023,0.247,"GCN1 sgRNA 1,2"
PIK3R4,0.176,0.246,"GCN1 sgRNA 1,2"
POLD2,-0.119,0.246,"GCN1 sgRNA 1,2"
ASAP1,0.204,0.246,"GCN1 sgRNA 1,2"
KNTC1,0.34,0.246,"GCN1 sgRNA 1,2"
CHMP1A,-0.18,0.246,"GCN1 sgRNA 1,2"
RETREG3,0.254,0.246,"GCN1 sgRNA 1,2"
MFSD11,0.25,0.246,"GCN1 sgRNA 1,2"
GCDH,0.132,0.246,"GCN1 sgRNA 1,2"
MEF2D,0.074,0.245,"GCN1 sgRNA 1,2"
NEMP1,0.722,0.245,"GCN1 sgRNA 1,2"
NUBPL,0.21,0.245,"GCN1 sgRNA 1,2"
SUPT5H,0.145,0.245,"GCN1 sgRNA 1,2"
USP40,0.316,0.244,"GCN1 sgRNA 1,2"
SLC35G2,0.986,0.244,"GCN1 sgRNA 1,2"
DDX24,-0.073,0.244,"GCN1 sgRNA 1,2"
MCAT,0.132,0.244,"GCN1 sgRNA 1,2"
RPS6KC1,0.387,0.243,"GCN1 sgRNA 1,2"
NABP1,0.321,0.243,"GCN1 sgRNA 1,2"
AHI1,0.353,0.243,"GCN1 sgRNA 1,2"
VTI1A,-0.073,0.243,"GCN1 sgRNA 1,2"
RAD51,0.705,0.243,"GCN1 sgRNA 1,2"
UCKL1,0.214,0.243,"GCN1 sgRNA 1,2"
REXO1,-0.409,0.243,"GCN1 sgRNA 1,2"
DMPK,-0.097,0.243,"GCN1 sgRNA 1,2"
ZNF266,0.075,0.243,"GCN1 sgRNA 1,2"
NUP62,0.083,0.243,"GCN1 sgRNA 1,2"
NEU1,-0.377,0.242,"GCN1 sgRNA 1,2"
NKAPD1,0.326,0.242,"GCN1 sgRNA 1,2"
NASP,-0.05,0.241,"GCN1 sgRNA 1,2"
ELMOD3,0.359,0.241,"GCN1 sgRNA 1,2"
SF3B2,-0.131,0.241,"GCN1 sgRNA 1,2"
NKIRAS2,-0.153,0.241,"GCN1 sgRNA 1,2"
CLASP2,0.529,0.24,"GCN1 sgRNA 1,2"
LSM11,0.647,0.24,"GCN1 sgRNA 1,2"
INF2,0.281,0.24,"GCN1 sgRNA 1,2"
CES2,-0.114,0.24,"GCN1 sgRNA 1,2"
NAPG,0.208,0.24,"GCN1 sgRNA 1,2"
POLR1A,-0.2,0.239,"GCN1 sgRNA 1,2"
MPDZ,0.555,0.239,"GCN1 sgRNA 1,2"
KIF11,0.181,0.239,"GCN1 sgRNA 1,2"
NCBP3,0.223,0.239,"GCN1 sgRNA 1,2"
ZNF714,0.392,0.239,"GCN1 sgRNA 1,2"
HOXD10,0.909,0.238,"GCN1 sgRNA 1,2"
TMEM87B,0.641,0.238,"GCN1 sgRNA 1,2"
RWDD1,-0.186,0.238,"GCN1 sgRNA 1,2"
ZFAND6,0.094,0.238,"GCN1 sgRNA 1,2"
EXOSC5,0.022,0.238,"GCN1 sgRNA 1,2"
DNAJC16,0.342,0.237,"GCN1 sgRNA 1,2"
ANKMY2,0.338,0.237,"GCN1 sgRNA 1,2"
NCBP1,0.246,0.237,"GCN1 sgRNA 1,2"
LIG4,0.764,0.237,"GCN1 sgRNA 1,2"
ICE2,0.507,0.237,"GCN1 sgRNA 1,2"
FTSJ3,-0.018,0.237,"GCN1 sgRNA 1,2"
SP8,1.389,0.236,"GCN1 sgRNA 1,2"
TMX2,0.191,0.236,"GCN1 sgRNA 1,2"
ARHGAP32,0.468,0.236,"GCN1 sgRNA 1,2"
ARL5B,-0.221,0.236,"GCN1 sgRNA 1,2"
METTL17,0.097,0.236,"GCN1 sgRNA 1,2"
ZFHX2,1.062,0.236,"GCN1 sgRNA 1,2"
XRN2,0.275,0.236,"GCN1 sgRNA 1,2"
JAGN1,-0.074,0.235,"GCN1 sgRNA 1,2"
KIF9,0.377,0.235,"GCN1 sgRNA 1,2"
HARS2,0.543,0.235,"GCN1 sgRNA 1,2"
CSNK1A1,0.044,0.235,"GCN1 sgRNA 1,2"
DNAJC24,-0.069,0.235,"GCN1 sgRNA 1,2"
GOT1,-0.085,0.235,"GCN1 sgRNA 1,2"
SLC66A2,-0.303,0.235,"GCN1 sgRNA 1,2"
PARP3,0.863,0.234,"GCN1 sgRNA 1,2"
NOA1,0.514,0.234,"GCN1 sgRNA 1,2"
AASS,0.138,0.234,"GCN1 sgRNA 1,2"
RNF20,0.392,0.234,"GCN1 sgRNA 1,2"
ABCD4,0.567,0.234,"GCN1 sgRNA 1,2"
MYO9A,0.378,0.234,"GCN1 sgRNA 1,2"
NFATC3,0.554,0.234,"GCN1 sgRNA 1,2"
UBE2Z,-0.025,0.234,"GCN1 sgRNA 1,2"
PSMC5,-0.178,0.234,"GCN1 sgRNA 1,2"
ATAD3A,0.03,0.233,"GCN1 sgRNA 1,2"
PHF1,-0.045,0.233,"GCN1 sgRNA 1,2"
RECK,0.115,0.233,"GCN1 sgRNA 1,2"
TTC7B,0.152,0.233,"GCN1 sgRNA 1,2"
GSTZ1,-0.074,0.233,"GCN1 sgRNA 1,2"
TANGO6,-0.107,0.233,"GCN1 sgRNA 1,2"
NAA60,0.018,0.233,"GCN1 sgRNA 1,2"
KAT14,0.536,0.233,"GCN1 sgRNA 1,2"
PPP2R3B,0.328,0.232,"GCN1 sgRNA 1,2"
ZNF768,0.282,0.232,"GCN1 sgRNA 1,2"
SPECC1,0.147,0.232,"GCN1 sgRNA 1,2"
VPS72,0.095,0.231,"GCN1 sgRNA 1,2"
RUFY3,0.437,0.231,"GCN1 sgRNA 1,2"
TIMM13,-0.211,0.231,"GCN1 sgRNA 1,2"
UCHL5,0.173,0.23,"GCN1 sgRNA 1,2"
KCTD10,0.328,0.23,"GCN1 sgRNA 1,2"
UBE3A,0.355,0.23,"GCN1 sgRNA 1,2"
TMUB2,0.153,0.23,"GCN1 sgRNA 1,2"
TPD52L2,-0.13,0.23,"GCN1 sgRNA 1,2"
ZNF146,0.091,0.23,"GCN1 sgRNA 1,2"
DHX9,0.382,0.229,"GCN1 sgRNA 1,2"
KLHL12,0.419,0.229,"GCN1 sgRNA 1,2"
YIPF4,0.089,0.229,"GCN1 sgRNA 1,2"
ZKSCAN4,1.298,0.229,"GCN1 sgRNA 1,2"
ZNF324B,-0.146,0.229,"GCN1 sgRNA 1,2"
RNF115,0.435,0.228,"GCN1 sgRNA 1,2"
TRIM59,0.606,0.228,"GCN1 sgRNA 1,2"
TRMT10C,0.11,0.228,"GCN1 sgRNA 1,2"
SMARCAD1,0.5,0.228,"GCN1 sgRNA 1,2"
CDKAL1,0.429,0.228,"GCN1 sgRNA 1,2"
CREB3L2,0.362,0.228,"GCN1 sgRNA 1,2"
FBXL6,0.619,0.228,"GCN1 sgRNA 1,2"
TTC12,0.603,0.228,"GCN1 sgRNA 1,2"
PCF11,0.388,0.228,"GCN1 sgRNA 1,2"
DNAL1,0.319,0.228,"GCN1 sgRNA 1,2"
CIAPIN1,0.08,0.228,"GCN1 sgRNA 1,2"
ACD,0.217,0.228,"GCN1 sgRNA 1,2"
RPL3,-0.278,0.228,"GCN1 sgRNA 1,2"
CMC1,-0.131,0.227,"GCN1 sgRNA 1,2"
NCAPG2,0.036,0.227,"GCN1 sgRNA 1,2"
CREB3,-0.103,0.227,"GCN1 sgRNA 1,2"
NINL,0.486,0.227,"GCN1 sgRNA 1,2"
MNAT1,0.061,0.226,"GCN1 sgRNA 1,2"
ZSCAN2,0.908,0.226,"GCN1 sgRNA 1,2"
OGFOD1,0.246,0.226,"GCN1 sgRNA 1,2"
MRPL27,-0.353,0.226,"GCN1 sgRNA 1,2"
EIF1,-0.323,0.226,"GCN1 sgRNA 1,2"
SREBF2,-0.083,0.226,"GCN1 sgRNA 1,2"
MFSD8,0.583,0.225,"GCN1 sgRNA 1,2"
PRDM11,0.166,0.225,"GCN1 sgRNA 1,2"
LLPH,0.44,0.225,"GCN1 sgRNA 1,2"
DMAC2,0.001,0.225,"GCN1 sgRNA 1,2"
CEP57,0.448,0.224,"GCN1 sgRNA 1,2"
PCIF1,0.279,0.224,"GCN1 sgRNA 1,2"
NSFL1C,-0.128,0.224,"GCN1 sgRNA 1,2"
TMEM131,0.406,0.223,"GCN1 sgRNA 1,2"
UBXN4,0.045,0.223,"GCN1 sgRNA 1,2"
RANBP2,0.362,0.223,"GCN1 sgRNA 1,2"
PPP4R2,0.28,0.223,"GCN1 sgRNA 1,2"
DIMT1,0.095,0.223,"GCN1 sgRNA 1,2"
ARFIP2,0.007,0.223,"GCN1 sgRNA 1,2"
METTL25,0.902,0.223,"GCN1 sgRNA 1,2"
MCOLN1,0.137,0.223,"GCN1 sgRNA 1,2"
OSBP2,0.25,0.223,"GCN1 sgRNA 1,2"
PDHX,-0.011,0.222,"GCN1 sgRNA 1,2"
HECTD1,0.26,0.222,"GCN1 sgRNA 1,2"
ZCCHC3,-0.003,0.222,"GCN1 sgRNA 1,2"
ARHGAP33,0.573,0.222,"GCN1 sgRNA 1,2"
NAA15,0.195,0.221,"GCN1 sgRNA 1,2"
PTPDC1,0.678,0.221,"GCN1 sgRNA 1,2"
CCND1,0.024,0.221,"GCN1 sgRNA 1,2"
ITCH,0.595,0.221,"GCN1 sgRNA 1,2"
L3MBTL2,0.155,0.221,"GCN1 sgRNA 1,2"
MAPK14,0.217,0.22,"GCN1 sgRNA 1,2"
ATE1,0.516,0.22,"GCN1 sgRNA 1,2"
PAN3,0.571,0.22,"GCN1 sgRNA 1,2"
VPS36,0.31,0.22,"GCN1 sgRNA 1,2"
ARFGEF2,0.113,0.22,"GCN1 sgRNA 1,2"
DPH2,0.082,0.219,"GCN1 sgRNA 1,2"
CIP2A,0.146,0.219,"GCN1 sgRNA 1,2"
PABPC4L,0.692,0.219,"GCN1 sgRNA 1,2"
MICAL1,0.486,0.219,"GCN1 sgRNA 1,2"
FOXO1,0.876,0.219,"GCN1 sgRNA 1,2"
MYO1E,-0.174,0.219,"GCN1 sgRNA 1,2"
RPUSD2,0.235,0.219,"GCN1 sgRNA 1,2"
SDK2,0.247,0.219,"GCN1 sgRNA 1,2"
SAE1,0.038,0.219,"GCN1 sgRNA 1,2"
TMEM175,0.478,0.218,"GCN1 sgRNA 1,2"
POP1,-0.027,0.218,"GCN1 sgRNA 1,2"
CACUL1,0.092,0.218,"GCN1 sgRNA 1,2"
SCAF11,0.023,0.218,"GCN1 sgRNA 1,2"
KMT2B,-0.152,0.218,"GCN1 sgRNA 1,2"
OTULIN,0.185,0.217,"GCN1 sgRNA 1,2"
DPH7,0.171,0.217,"GCN1 sgRNA 1,2"
TOLLIP,-0.234,0.217,"GCN1 sgRNA 1,2"
VDR,-0.219,0.217,"GCN1 sgRNA 1,2"
CMIP,-0.203,0.217,"GCN1 sgRNA 1,2"
PRMT1,-0.213,0.217,"GCN1 sgRNA 1,2"
CARD10,0.73,0.217,"GCN1 sgRNA 1,2"
KIAA1143,-0.094,0.216,"GCN1 sgRNA 1,2"
NEK1,0.433,0.216,"GCN1 sgRNA 1,2"
ALKBH8,0.628,0.216,"GCN1 sgRNA 1,2"
CCNF,-0.264,0.216,"GCN1 sgRNA 1,2"
ZBTB4,0.339,0.216,"GCN1 sgRNA 1,2"
MTMR3,-0.142,0.216,"GCN1 sgRNA 1,2"
SEMA6C,0.11,0.215,"GCN1 sgRNA 1,2"
PAIP2B,0.231,0.215,"GCN1 sgRNA 1,2"
TBC1D23,0.269,0.215,"GCN1 sgRNA 1,2"
TRAPPC13,0.258,0.215,"GCN1 sgRNA 1,2"
C9orf40,0.267,0.215,"GCN1 sgRNA 1,2"
BET1L,0.016,0.215,"GCN1 sgRNA 1,2"
MRPS11,-0.131,0.215,"GCN1 sgRNA 1,2"
STX8,-0.355,0.215,"GCN1 sgRNA 1,2"
TOP3B,0.45,0.215,"GCN1 sgRNA 1,2"
RANGAP1,-0.39,0.215,"GCN1 sgRNA 1,2"
SMAP2,0.24,0.214,"GCN1 sgRNA 1,2"
TBCCD1,-0.114,0.214,"GCN1 sgRNA 1,2"
MRPS18C,-0.348,0.214,"GCN1 sgRNA 1,2"
PHIP,0.382,0.214,"GCN1 sgRNA 1,2"
IFT46,0.37,0.214,"GCN1 sgRNA 1,2"
PRCC,0.089,0.213,"GCN1 sgRNA 1,2"
NCDN,-0.216,0.213,"GCN1 sgRNA 1,2"
JUP,0.017,0.213,"GCN1 sgRNA 1,2"
HLF,0.843,0.213,"GCN1 sgRNA 1,2"
NCSTN,-0.105,0.212,"GCN1 sgRNA 1,2"
DNAJB14,0.513,0.212,"GCN1 sgRNA 1,2"
SIX1,1.022,0.212,"GCN1 sgRNA 1,2"
DHX38,-0.207,0.212,"GCN1 sgRNA 1,2"
RABGGTB,0.154,0.211,"GCN1 sgRNA 1,2"
ZBTB8OS,0.23,0.211,"GCN1 sgRNA 1,2"
OXSR1,0.338,0.211,"GCN1 sgRNA 1,2"
TNK2,0.455,0.211,"GCN1 sgRNA 1,2"
CCDC167,-0.425,0.211,"GCN1 sgRNA 1,2"
C8orf33,0.104,0.211,"GCN1 sgRNA 1,2"
COQ9,0.406,0.211,"GCN1 sgRNA 1,2"
LMF1,0.044,0.211,"GCN1 sgRNA 1,2"
FAAP24,0.25,0.211,"GCN1 sgRNA 1,2"
POLR2D,-0.215,0.21,"GCN1 sgRNA 1,2"
NEPRO,0.724,0.21,"GCN1 sgRNA 1,2"
AK6,-0.189,0.21,"GCN1 sgRNA 1,2"
DKC1,0.125,0.21,"GCN1 sgRNA 1,2"
MRPL21,-0.457,0.21,"GCN1 sgRNA 1,2"
C2orf76,-0.217,0.209,"GCN1 sgRNA 1,2"
SRPRB,0.092,0.209,"GCN1 sgRNA 1,2"
GNL1,0.077,0.209,"GCN1 sgRNA 1,2"
LEMD2,0.103,0.209,"GCN1 sgRNA 1,2"
ELAPOR2,0.443,0.209,"GCN1 sgRNA 1,2"
NUB1,0.217,0.209,"GCN1 sgRNA 1,2"
DDX21,0.039,0.209,"GCN1 sgRNA 1,2"
NDRG4,0.044,0.209,"GCN1 sgRNA 1,2"
NATD1,0.338,0.209,"GCN1 sgRNA 1,2"
NDC80,0.222,0.209,"GCN1 sgRNA 1,2"
CHCHD4,0.361,0.208,"GCN1 sgRNA 1,2"
PCBP4,-0.212,0.208,"GCN1 sgRNA 1,2"
BCORL1,-0.337,0.208,"GCN1 sgRNA 1,2"
ABITRAM,0.764,0.208,"GCN1 sgRNA 1,2"
EEF2,-0.221,0.208,"GCN1 sgRNA 1,2"
SLC44A5,0.744,0.207,"GCN1 sgRNA 1,2"
UMAD1,-0.025,0.207,"GCN1 sgRNA 1,2"
FIBP,0.045,0.207,"GCN1 sgRNA 1,2"
FAM117A,-0.048,0.207,"GCN1 sgRNA 1,2"
SMCHD1,0.368,0.207,"GCN1 sgRNA 1,2"
DRG1,-0.107,0.207,"GCN1 sgRNA 1,2"
KLRG2,0.505,0.206,"GCN1 sgRNA 1,2"
POT1,0.855,0.206,"GCN1 sgRNA 1,2"
MOSPD1,0.103,0.206,"GCN1 sgRNA 1,2"
UHRF1BP1L,0.332,0.206,"GCN1 sgRNA 1,2"
KMT5A,0.25,0.206,"GCN1 sgRNA 1,2"
TXNDC16,0.767,0.206,"GCN1 sgRNA 1,2"
ZNF784,0.474,0.206,"GCN1 sgRNA 1,2"
SPPL2B,0.388,0.206,"GCN1 sgRNA 1,2"
PRRC2C,0.095,0.205,"GCN1 sgRNA 1,2"
KLF7,1.528,0.205,"GCN1 sgRNA 1,2"
CTNND1,-0.056,0.205,"GCN1 sgRNA 1,2"
EXOSC1,0.079,0.205,"GCN1 sgRNA 1,2"
TMEM231,1.333,0.205,"GCN1 sgRNA 1,2"
SNF8,-0.285,0.205,"GCN1 sgRNA 1,2"
HS3ST3A1,-0.03,0.205,"GCN1 sgRNA 1,2"
FBXO46,0.146,0.205,"GCN1 sgRNA 1,2"
LYPLA2,-0.242,0.204,"GCN1 sgRNA 1,2"
PSMD4,-0.164,0.204,"GCN1 sgRNA 1,2"
FNIP1,-0.307,0.204,"GCN1 sgRNA 1,2"
USP3,0.578,0.204,"GCN1 sgRNA 1,2"
NOL11,0.266,0.204,"GCN1 sgRNA 1,2"
GTF2E1,0.769,0.203,"GCN1 sgRNA 1,2"
OCIAD1,0.059,0.203,"GCN1 sgRNA 1,2"
IFNGR1,0.317,0.203,"GCN1 sgRNA 1,2"
NKAP,-0.088,0.203,"GCN1 sgRNA 1,2"
NBR1,0.002,0.203,"GCN1 sgRNA 1,2"
FOXJ3,0.178,0.202,"GCN1 sgRNA 1,2"
REV1,0.728,0.202,"GCN1 sgRNA 1,2"
RMI2,0.5,0.202,"GCN1 sgRNA 1,2"
DEF8,-0.292,0.202,"GCN1 sgRNA 1,2"
LZTS3,-0.351,0.202,"GCN1 sgRNA 1,2"
COQ8B,0.565,0.202,"GCN1 sgRNA 1,2"
C19orf53,-0.426,0.202,"GCN1 sgRNA 1,2"
BACH1,0.378,0.202,"GCN1 sgRNA 1,2"
TUT4,0.18,0.201,"GCN1 sgRNA 1,2"
EIF4G3,-0.111,0.201,"GCN1 sgRNA 1,2"
ARFIP1,0.335,0.201,"GCN1 sgRNA 1,2"
FOXD1,0.408,0.201,"GCN1 sgRNA 1,2"
MED23,-0.022,0.201,"GCN1 sgRNA 1,2"
TCF7L2,0.509,0.201,"GCN1 sgRNA 1,2"
ZFHX3,0.701,0.201,"GCN1 sgRNA 1,2"
HOXB9,0.445,0.201,"GCN1 sgRNA 1,2"
SERTAD3,0.171,0.201,"GCN1 sgRNA 1,2"
OSGEPL1,0.47,0.2,"GCN1 sgRNA 1,2"
MAML1,0.033,0.2,"GCN1 sgRNA 1,2"
RPL10A,-0.357,0.2,"GCN1 sgRNA 1,2"
HIF1AN,-0.1,0.2,"GCN1 sgRNA 1,2"
ZFAND1,0.288,0.199,"GCN1 sgRNA 1,2"
LRCH1,0.123,0.199,"GCN1 sgRNA 1,2"
CBX8,0.643,0.199,"GCN1 sgRNA 1,2"
SNRNP70,-0.118,0.199,"GCN1 sgRNA 1,2"
GPR108,0.157,0.199,"GCN1 sgRNA 1,2"
DMAP1,-0.055,0.198,"GCN1 sgRNA 1,2"
CD55,-0.483,0.198,"GCN1 sgRNA 1,2"
MAP3K7,0.15,0.198,"GCN1 sgRNA 1,2"
TBX2,0.358,0.198,"GCN1 sgRNA 1,2"
TRIM33,0.492,0.197,"GCN1 sgRNA 1,2"
ACAA1,0.084,0.197,"GCN1 sgRNA 1,2"
FIS1,-0.443,0.197,"GCN1 sgRNA 1,2"
INPP5F,0.614,0.197,"GCN1 sgRNA 1,2"
AKAP11,0.324,0.197,"GCN1 sgRNA 1,2"
GANC,-0.121,0.197,"GCN1 sgRNA 1,2"
MAN2C1,0.014,0.197,"GCN1 sgRNA 1,2"
ATP6V0D1,-0.203,0.197,"GCN1 sgRNA 1,2"
MAGI3,0.215,0.196,"GCN1 sgRNA 1,2"
EXOC6B,0.064,0.196,"GCN1 sgRNA 1,2"
DGUOK,-0.256,0.196,"GCN1 sgRNA 1,2"
CAMK1,-0.14,0.196,"GCN1 sgRNA 1,2"
PPP2R3A,0.276,0.196,"GCN1 sgRNA 1,2"
NHSL1,0.508,0.196,"GCN1 sgRNA 1,2"
MRPS33,-0.161,0.196,"GCN1 sgRNA 1,2"
MID1IP1,0.338,0.196,"GCN1 sgRNA 1,2"
TIAL1,0.03,0.196,"GCN1 sgRNA 1,2"
CCNDBP1,0.17,0.196,"GCN1 sgRNA 1,2"
DHRS11,0.262,0.196,"GCN1 sgRNA 1,2"
ZNF559,0.782,0.196,"GCN1 sgRNA 1,2"
YWHAH,-0.535,0.196,"GCN1 sgRNA 1,2"
USP34,0.202,0.195,"GCN1 sgRNA 1,2"
MTA3,0.584,0.195,"GCN1 sgRNA 1,2"
RUVBL1,0.05,0.195,"GCN1 sgRNA 1,2"
AGK,0.238,0.195,"GCN1 sgRNA 1,2"
SLAIN1,0.581,0.195,"GCN1 sgRNA 1,2"
CRK,-0.052,0.195,"GCN1 sgRNA 1,2"
USP22,-0.159,0.195,"GCN1 sgRNA 1,2"
SIN3B,-0.292,0.195,"GCN1 sgRNA 1,2"
NUDT19,0.659,0.195,"GCN1 sgRNA 1,2"
CARD8,0.187,0.195,"GCN1 sgRNA 1,2"
GEN1,0.704,0.194,"GCN1 sgRNA 1,2"
MYL6,-0.504,0.194,"GCN1 sgRNA 1,2"
XPO4,0.367,0.194,"GCN1 sgRNA 1,2"
PNP,-0.333,0.194,"GCN1 sgRNA 1,2"
RCCD1,0.19,0.194,"GCN1 sgRNA 1,2"
MIEN1,-0.533,0.194,"GCN1 sgRNA 1,2"
DMKN,-0.056,0.194,"GCN1 sgRNA 1,2"
COA6,-0.465,0.193,"GCN1 sgRNA 1,2"
GCHFR,-0.106,0.193,"GCN1 sgRNA 1,2"
PLEKHM2,-0.209,0.192,"GCN1 sgRNA 1,2"
STPG1,0.664,0.192,"GCN1 sgRNA 1,2"
MRPS30,0.215,0.192,"GCN1 sgRNA 1,2"
SRSF3,0.015,0.192,"GCN1 sgRNA 1,2"
SRPK2,0.361,0.192,"GCN1 sgRNA 1,2"
ZNF440,0.829,0.192,"GCN1 sgRNA 1,2"
RBM42,0.032,0.192,"GCN1 sgRNA 1,2"
OPA3,0.045,0.192,"GCN1 sgRNA 1,2"
MMACHC,0.365,0.191,"GCN1 sgRNA 1,2"
COPG1,-0.039,0.191,"GCN1 sgRNA 1,2"
YIPF5,0.308,0.191,"GCN1 sgRNA 1,2"
MRPL22,-0.453,0.191,"GCN1 sgRNA 1,2"
ANKRA2,0.721,0.191,"GCN1 sgRNA 1,2"
RNGTT,0.185,0.191,"GCN1 sgRNA 1,2"
NUP43,0.106,0.191,"GCN1 sgRNA 1,2"
PDAP1,-0.345,0.191,"GCN1 sgRNA 1,2"
SENP1,0.23,0.191,"GCN1 sgRNA 1,2"
AFMID,0.35,0.191,"GCN1 sgRNA 1,2"
KLHL17,0.247,0.19,"GCN1 sgRNA 1,2"
CACNB4,0.47,0.19,"GCN1 sgRNA 1,2"
NUDT6,0.841,0.19,"GCN1 sgRNA 1,2"
MTMR1,0.012,0.19,"GCN1 sgRNA 1,2"
CACFD1,0.252,0.19,"GCN1 sgRNA 1,2"
PIGO,0.384,0.19,"GCN1 sgRNA 1,2"
SELENOH,-0.642,0.19,"GCN1 sgRNA 1,2"
ARF6,0.137,0.19,"GCN1 sgRNA 1,2"
PNPLA3,0.83,0.19,"GCN1 sgRNA 1,2"
KIAA2026,0.059,0.189,"GCN1 sgRNA 1,2"
ARGLU1,0.245,0.189,"GCN1 sgRNA 1,2"
EML5,0.748,0.189,"GCN1 sgRNA 1,2"
AFG3L2,0.098,0.189,"GCN1 sgRNA 1,2"
SBNO2,-0.403,0.189,"GCN1 sgRNA 1,2"
DGCR6,0.201,0.189,"GCN1 sgRNA 1,2"
YDJC,0.361,0.189,"GCN1 sgRNA 1,2"
NFU1,-0.27,0.188,"GCN1 sgRNA 1,2"
HSPBAP1,0.777,0.188,"GCN1 sgRNA 1,2"
KPNA1,0.229,0.188,"GCN1 sgRNA 1,2"
MAN2A1,0.453,0.188,"GCN1 sgRNA 1,2"
STK38L,0.323,0.188,"GCN1 sgRNA 1,2"
WRAP73,0.227,0.187,"GCN1 sgRNA 1,2"
SLC43A1,0.556,0.187,"GCN1 sgRNA 1,2"
CHKA,0.309,0.187,"GCN1 sgRNA 1,2"
RFNG,0.086,0.187,"GCN1 sgRNA 1,2"
ALS2,0.181,0.186,"GCN1 sgRNA 1,2"
MRTFB,0.42,0.186,"GCN1 sgRNA 1,2"
WIZ,-0.012,0.186,"GCN1 sgRNA 1,2"
FAM174A,0.249,0.185,"GCN1 sgRNA 1,2"
ST7,0.499,0.185,"GCN1 sgRNA 1,2"
EXOC6,0.535,0.185,"GCN1 sgRNA 1,2"
RBM25,0.085,0.185,"GCN1 sgRNA 1,2"
ARHGEF1,-0.011,0.185,"GCN1 sgRNA 1,2"
GLUL,-0.082,0.184,"GCN1 sgRNA 1,2"
DHX29,0.525,0.184,"GCN1 sgRNA 1,2"
YIPF6,0.133,0.184,"GCN1 sgRNA 1,2"
SPIRE1,0.148,0.184,"GCN1 sgRNA 1,2"
NSMCE2,0.033,0.183,"GCN1 sgRNA 1,2"
BRF1,0.318,0.183,"GCN1 sgRNA 1,2"
GAR1,-0.01,0.182,"GCN1 sgRNA 1,2"
WDR70,0.148,0.182,"GCN1 sgRNA 1,2"
BOP1,-0.057,0.182,"GCN1 sgRNA 1,2"
RMC1,0.239,0.182,"GCN1 sgRNA 1,2"
CNDP2,0.167,0.182,"GCN1 sgRNA 1,2"
PITPNB,0.139,0.182,"GCN1 sgRNA 1,2"
SZT2,-0.096,0.181,"GCN1 sgRNA 1,2"
ETV6,0.406,0.181,"GCN1 sgRNA 1,2"
ALX1,1.202,0.181,"GCN1 sgRNA 1,2"
L3HYPDH,0.724,0.181,"GCN1 sgRNA 1,2"
NSMCE3,0.191,0.181,"GCN1 sgRNA 1,2"
SDF2,-0.334,0.181,"GCN1 sgRNA 1,2"
TRIM16,-0.003,0.181,"GCN1 sgRNA 1,2"
URB1,-0.383,0.181,"GCN1 sgRNA 1,2"
SNRNP40,0.193,0.18,"GCN1 sgRNA 1,2"
TDP1,-0.012,0.18,"GCN1 sgRNA 1,2"
TARS2,0.273,0.179,"GCN1 sgRNA 1,2"
COPS9,-0.756,0.179,"GCN1 sgRNA 1,2"
TMEM129,0.472,0.179,"GCN1 sgRNA 1,2"
ABI1,0.286,0.179,"GCN1 sgRNA 1,2"
CTDSPL2,0.537,0.179,"GCN1 sgRNA 1,2"
TEDC2,0.577,0.179,"GCN1 sgRNA 1,2"
SMG1,0.139,0.179,"GCN1 sgRNA 1,2"
EML2,0.539,0.179,"GCN1 sgRNA 1,2"
MAP3K10,-0.16,0.179,"GCN1 sgRNA 1,2"
BAMBI,0.744,0.178,"GCN1 sgRNA 1,2"
RXYLT1,-0.09,0.178,"GCN1 sgRNA 1,2"
ZNF280B,0.507,0.178,"GCN1 sgRNA 1,2"
NUDT12,0.641,0.177,"GCN1 sgRNA 1,2"
MED7,0.295,0.177,"GCN1 sgRNA 1,2"
CDYL,0.298,0.177,"GCN1 sgRNA 1,2"
CEP162,0.567,0.177,"GCN1 sgRNA 1,2"
ARHGAP1,0.237,0.177,"GCN1 sgRNA 1,2"
SELENOS,-0.162,0.177,"GCN1 sgRNA 1,2"
KCTD2,-0.369,0.177,"GCN1 sgRNA 1,2"
TRMT61B,0.703,0.176,"GCN1 sgRNA 1,2"
TMEM161B,0.847,0.176,"GCN1 sgRNA 1,2"
SALL1,0.676,0.176,"GCN1 sgRNA 1,2"
RUNDC1,0.688,0.176,"GCN1 sgRNA 1,2"
RABIF,0.031,0.175,"GCN1 sgRNA 1,2"
ANKRD50,0.129,0.175,"GCN1 sgRNA 1,2"
COQ4,0.174,0.175,"GCN1 sgRNA 1,2"
BCL6B,0.333,0.175,"GCN1 sgRNA 1,2"
TMEM167B,0.687,0.174,"GCN1 sgRNA 1,2"
TOMM70,0.139,0.174,"GCN1 sgRNA 1,2"
THOP1,0.058,0.174,"GCN1 sgRNA 1,2"
C2orf49,0.177,0.173,"GCN1 sgRNA 1,2"
ITPR1,0.37,0.173,"GCN1 sgRNA 1,2"
IFT122,0.139,0.173,"GCN1 sgRNA 1,2"
SLBP,0.211,0.173,"GCN1 sgRNA 1,2"
